Column1,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,,Category,Total_Score
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021 7:54,photo,Studying,positive,70,,,Animals,74965
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,7/9/2020 16:47,photo,healthy eating,positive,70,,,food,66676
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,11/13/2020 0:33,photo,healthy eating,positive,70,,,healthy eating,69339
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,9/27/2020 22:15,photo,technology,positive,70,,,science,71168
182,0bedca96-fb76-4287-a83c-17330ed39cce,want,8/25/2020 19:18,photo,soccer,positive,70,,,technology,68738
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,4/14/2021 0:56,photo,public speaking,positive,70,,,,
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,5/20/2021 16:11,photo,public speaking,positive,70,,,,
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2/21/2021 5:01,photo,public speaking,positive,70,,,,
231,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,12/1/2020 15:06,photo,public speaking,positive,70,,,,
574,78d0075f-895c-4a15-a35c-a921e2bb2cea,want,9/11/2020 19:13,photo,Studying,positive,70,,,,
627,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,want,12/9/2020 20:38,photo,travel,positive,70,,,,
637,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,want,11/4/2020 17:10,photo,travel,positive,70,,,,
795,f4e3840e-bb71-40c2-afc5-9408d842646d,want,4/15/2021 4:37,photo,healthy eating,positive,70,,,,
802,f4e3840e-bb71-40c2-afc5-9408d842646d,want,2/20/2021 5:52,photo,healthy eating,positive,70,,,,
1095,34f73132-fff6-4f01-a5ec-4b4b66461fc7,want,6/2/2021 15:37,photo,fitness,positive,70,,,,
1134,34f73132-fff6-4f01-a5ec-4b4b66461fc7,want,12/23/2020 0:09,photo,fitness,positive,70,,,,
1135,34f73132-fff6-4f01-a5ec-4b4b66461fc7,want,6/23/2020 3:47,photo,fitness,positive,70,,,,
1769,258bb775-3c35-4eec-90f3-8b75a52e466a,want,6/12/2021 19:31,photo,education,positive,70,,,,
1791,8d32243c-2dd1-4128-bde1-d643207e582c,want,9/13/2020 20:07,photo,Studying,positive,70,,,,
1806,8d32243c-2dd1-4128-bde1-d643207e582c,want,1/12/2021 21:58,photo,Studying,positive,70,,,,
1814,8d32243c-2dd1-4128-bde1-d643207e582c,want,4/29/2021 11:05,photo,Studying,positive,70,,,,
1876,3d8fffab-6107-4d7b-9485-c610e233c91c,want,1/11/2021 15:20,photo,Studying,positive,70,,,,
2115,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,want,6/26/2020 3:29,photo,science,positive,70,,,,
2132,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,want,2/11/2021 6:26,photo,science,positive,70,,,,
2173,359b93ea-446f-4202-8801-db238de5de4d,want,3/2/2021 10:25,photo,food,positive,70,,,,
2197,359b93ea-446f-4202-8801-db238de5de4d,want,1/5/2021 19:18,photo,food,positive,70,,,,
2201,359b93ea-446f-4202-8801-db238de5de4d,want,3/7/2021 5:38,photo,food,positive,70,,,,
2204,359b93ea-446f-4202-8801-db238de5de4d,want,3/13/2021 6:46,photo,food,positive,70,,,,
2311,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,want,12/15/2020 22:17,photo,Studying,positive,70,,,,
2317,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,want,10/30/2020 13:47,photo,Studying,positive,70,,,,
2416,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,want,10/6/2020 4:23,photo,culture,positive,70,,,,
2426,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,want,10/9/2020 4:38,photo,culture,positive,70,,,,
2434,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,want,4/4/2021 14:57,photo,culture,positive,70,,,,
2491,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,want,2/3/2021 15:43,photo,culture,positive,70,,,,
2493,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,want,9/22/2020 6:38,photo,culture,positive,70,,,,
2496,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,want,2/17/2021 0:47,photo,culture,positive,70,,,,
2501,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,want,7/16/2020 6:28,photo,culture,positive,70,,,,
2503,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,want,5/28/2021 13:07,photo,culture,positive,70,,,,
2505,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,want,6/20/2020 15:07,photo,culture,positive,70,,,,
2511,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,want,1/11/2021 8:24,photo,culture,positive,70,,,,
2708,cd568dd1-70cf-45d6-b495-10eebff8c920,want,11/10/2020 23:17,photo,dogs,positive,70,,,,
2710,cd568dd1-70cf-45d6-b495-10eebff8c920,want,10/11/2020 16:11,photo,dogs,positive,70,,,,
2725,cd568dd1-70cf-45d6-b495-10eebff8c920,want,9/6/2020 7:19,photo,dogs,positive,70,,,,
2741,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,want,3/25/2021 12:24,photo,travel,positive,70,,,,
2742,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,want,3/2/2021 1:47,photo,travel,positive,70,,,,
2745,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,want,5/20/2021 15:42,photo,travel,positive,70,,,,
2746,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,want,6/12/2021 17:36,photo,travel,positive,70,,,,
3178,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,want,9/12/2020 12:44,photo,food,positive,70,,,,
3206,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,want,7/5/2020 0:44,photo,food,positive,70,,,,
3209,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,want,11/23/2020 16:52,photo,food,positive,70,,,,
3271,f01ec49c-3179-43bb-b127-2b1a73f34b06,want,12/11/2020 23:00,photo,Animals,positive,70,,,,
3316,b6c24086-becf-4615-801e-c3c298a8d4e2,want,4/8/2021 16:42,photo,travel,positive,70,,,,
3344,1beeffff-f261-435f-a109-6fafe46669d4,want,8/30/2020 13:49,photo,public speaking,positive,70,,,,
3349,1beeffff-f261-435f-a109-6fafe46669d4,want,7/7/2020 8:32,photo,public speaking,positive,70,,,,
3368,1beeffff-f261-435f-a109-6fafe46669d4,want,7/5/2020 16:09,photo,public speaking,positive,70,,,,
3672,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,want,7/24/2020 2:26,photo,Animals,positive,70,,,,
3770,08cc29f3-a22d-4652-8f27-ff9e0a826289,want,1/9/2021 8:17,photo,technology,positive,70,,,,
3824,3a106d1f-3942-49d4-9358-417f33d760c6,want,9/9/2020 13:06,photo,fitness,positive,70,,,,
3826,3a106d1f-3942-49d4-9358-417f33d760c6,want,11/6/2020 13:07,photo,fitness,positive,70,,,,
4047,5651450a-d330-46e6-bac9-c7c7e7defaf2,want,12/28/2020 16:34,photo,Animals,positive,70,,,,
4048,5651450a-d330-46e6-bac9-c7c7e7defaf2,want,11/15/2020 10:47,photo,Animals,positive,70,,,,
4055,5651450a-d330-46e6-bac9-c7c7e7defaf2,want,2/19/2021 9:14,photo,Animals,positive,70,,,,
4064,5651450a-d330-46e6-bac9-c7c7e7defaf2,want,9/9/2020 13:53,photo,Animals,positive,70,,,,
4074,5651450a-d330-46e6-bac9-c7c7e7defaf2,want,2/12/2021 5:06,photo,Animals,positive,70,,,,
4077,5651450a-d330-46e6-bac9-c7c7e7defaf2,want,3/22/2021 18:00,photo,Animals,positive,70,,,,
4095,1bbdebad-2218-46fd-8afc-ddd9b4d56d97,want,6/20/2020 23:50,photo,veganism,positive,70,,,,
4100,1bbdebad-2218-46fd-8afc-ddd9b4d56d97,want,11/20/2020 12:46,photo,veganism,positive,70,,,,
4274,2893a837-3157-4bbd-918f-adc93b60480a,want,3/12/2021 9:17,photo,healthy eating,positive,70,,,,
4381,413101f7-ea05-4df6-97cf-9891245c5ed7,want,11/26/2020 5:02,photo,science,positive,70,,,,
4398,c136ae25-d882-4e2c-b515-5727ad2626a5,want,8/15/2020 16:00,photo,soccer,positive,70,,,,
4467,fa781e01-b928-401f-86f4-d42b0a3b55ab,want,2/3/2021 9:37,photo,Studying,positive,70,,,,
4698,7dc268e5-b50d-4280-82aa-e08af75a8a0a,want,1/5/2021 10:06,photo,science,positive,70,,,,
4701,7dc268e5-b50d-4280-82aa-e08af75a8a0a,want,6/15/2021 20:00,photo,science,positive,70,,,,
4878,d16d21cd-30c7-4b1e-b50c-aff5808fe816,want,6/1/2021 12:29,photo,fitness,positive,70,,,,
5274,ff883828-a610-492d-8635-8a777eaad25f,want,6/14/2021 8:39,photo,education,positive,70,,,,
5301,ff883828-a610-492d-8635-8a777eaad25f,want,1/28/2021 10:20,photo,education,positive,70,,,,
5537,a429d355-8983-40a4-aa2b-c3f47acd5499,want,7/19/2020 9:41,photo,veganism,positive,70,,,,
5664,8ef185a2-8910-41f5-a109-95c925ebffa0,want,7/17/2020 8:55,photo,public speaking,positive,70,,,,
5672,8ef185a2-8910-41f5-a109-95c925ebffa0,want,12/29/2020 18:42,photo,public speaking,positive,70,,,,
5791,1987b43d-bcb9-4ab0-8634-ef3623928e94,want,6/27/2020 17:00,photo,education,positive,70,,,,
5900,4ce7258e-3777-42b4-af6a-dd8898c42cfd,want,3/25/2021 18:59,photo,travel,positive,70,,,,
6239,350e0d40-e036-459c-9cbe-73e003c33cfa,want,2/27/2021 1:56,photo,technology,positive,70,,,,
6255,350e0d40-e036-459c-9cbe-73e003c33cfa,want,5/19/2021 6:34,photo,technology,positive,70,,,,
6347,13a4d35c-761c-47a3-b25b-5cc5825d04f2,want,7/17/2020 13:25,photo,travel,positive,70,,,,
6519,7fe36d94-8867-4719-9c62-60b077cf5973,want,5/31/2021 23:20,photo,travel,positive,70,,,,
6522,7fe36d94-8867-4719-9c62-60b077cf5973,want,6/24/2020 4:26,photo,travel,positive,70,,,,
6528,7fe36d94-8867-4719-9c62-60b077cf5973,want,10/20/2020 19:20,photo,travel,positive,70,,,,
6544,7fe36d94-8867-4719-9c62-60b077cf5973,want,5/17/2021 7:27,photo,travel,positive,70,,,,
6626,25934ec0-56f1-4fe1-9bf4-d46b1dbb42ad,want,6/30/2020 21:34,photo,veganism,positive,70,,,,
6636,25934ec0-56f1-4fe1-9bf4-d46b1dbb42ad,want,6/22/2020 16:50,photo,veganism,positive,70,,,,
6661,227a8c57-e5a0-46a8-999d-fcdea42c0905,want,5/3/2021 20:01,photo,education,positive,70,,,,
6668,227a8c57-e5a0-46a8-999d-fcdea42c0905,want,8/13/2020 23:12,photo,education,positive,70,,,,
6720,19179d57-4950-4a98-87fa-98f824551a6f,want,3/2/2021 21:51,photo,education,positive,70,,,,
6723,19179d57-4950-4a98-87fa-98f824551a6f,want,4/14/2021 11:08,photo,education,positive,70,,,,
6724,19179d57-4950-4a98-87fa-98f824551a6f,want,10/25/2020 7:20,photo,education,positive,70,,,,
6730,19179d57-4950-4a98-87fa-98f824551a6f,want,3/18/2021 2:19,photo,education,positive,70,,,,
6749,19179d57-4950-4a98-87fa-98f824551a6f,want,6/25/2020 1:31,photo,education,positive,70,,,,
6751,19179d57-4950-4a98-87fa-98f824551a6f,want,4/18/2021 4:03,photo,education,positive,70,,,,
6758,3926740f-e4f7-4229-9aad-e435149d0d2f,want,4/26/2021 8:49,photo,science,positive,70,,,,
7158,b50871e0-183e-4a1d-884b-f20fb271041b,want,7/17/2020 11:16,photo,cooking,positive,70,,,,
7171,b50871e0-183e-4a1d-884b-f20fb271041b,want,12/31/2020 21:24,photo,cooking,positive,70,,,,
7226,35489ad9-c3b5-4fcd-a6c0-9f2c667c55a8,want,5/2/2021 0:29,photo,Studying,positive,70,,,,
7376,da8f7258-6757-4a7e-892e-a16b925ef83b,want,11/8/2020 18:04,photo,cooking,positive,70,,,,
7467,05805658-8744-4cc4-825d-cbfed0ecea7c,want,7/31/2020 4:51,photo,technology,positive,70,,,,
7778,4bdd31e0-2f59-4262-bcbe-546678a3d203,want,10/8/2020 22:55,photo,healthy eating,positive,70,,,,
7779,4bdd31e0-2f59-4262-bcbe-546678a3d203,want,9/24/2020 6:42,photo,healthy eating,positive,70,,,,
7784,4bdd31e0-2f59-4262-bcbe-546678a3d203,want,6/12/2021 19:18,photo,healthy eating,positive,70,,,,
7909,693b5f91-52b1-4464-916c-91adccbec996,want,10/11/2020 14:49,photo,culture,positive,70,,,,
7930,693b5f91-52b1-4464-916c-91adccbec996,want,2/5/2021 22:26,photo,culture,positive,70,,,,
7933,693b5f91-52b1-4464-916c-91adccbec996,want,6/20/2020 12:43,photo,culture,positive,70,,,,
7934,693b5f91-52b1-4464-916c-91adccbec996,want,2/6/2021 4:41,photo,culture,positive,70,,,,
7944,693b5f91-52b1-4464-916c-91adccbec996,want,8/18/2020 16:48,photo,culture,positive,70,,,,
8127,1e773c55-ec7e-47f2-916d-98d0b778a048,want,11/29/2020 14:45,photo,food,positive,70,,,,
8176,212b7926-c743-45d9-85f2-63e0e8f85208,want,4/13/2021 20:04,photo,dogs,positive,70,,,,
8462,4b582733-141e-488f-8d02-3c4b149815a5,want,2/19/2021 22:47,photo,fitness,positive,70,,,,
8720,178f85a7-c2d1-4127-94d2-30adf96ae7fd,want,5/31/2021 19:12,photo,science,positive,70,,,,
8723,178f85a7-c2d1-4127-94d2-30adf96ae7fd,want,10/7/2020 9:19,photo,science,positive,70,,,,
8818,e4827a5c-c604-4aad-b7ed-b396b3601b74,want,4/27/2021 12:07,photo,education,positive,70,,,,
8826,e4827a5c-c604-4aad-b7ed-b396b3601b74,want,10/17/2020 0:08,photo,education,positive,70,,,,
9067,31d142d9-4557-4613-bce5-cfe63cd0a3cf,want,1/18/2021 21:12,photo,soccer,positive,70,,,,
9075,31d142d9-4557-4613-bce5-cfe63cd0a3cf,want,8/25/2020 4:16,photo,soccer,positive,70,,,,
9091,31d142d9-4557-4613-bce5-cfe63cd0a3cf,want,7/31/2020 0:29,photo,soccer,positive,70,,,,
9101,31d142d9-4557-4613-bce5-cfe63cd0a3cf,want,9/24/2020 18:08,photo,soccer,positive,70,,,,
9174,a8d3e5b8-7838-477c-82ce-4c90029e56ce,want,6/12/2021 1:28,photo,public speaking,positive,70,,,,
9189,a8d3e5b8-7838-477c-82ce-4c90029e56ce,want,12/4/2020 16:00,photo,public speaking,positive,70,,,,
9192,a8d3e5b8-7838-477c-82ce-4c90029e56ce,want,8/12/2020 23:58,photo,public speaking,positive,70,,,,
9204,a8d3e5b8-7838-477c-82ce-4c90029e56ce,want,3/25/2021 5:31,photo,public speaking,positive,70,,,,
9284,dfdf6d34-e60b-4d21-9973-4bf07769be78,want,10/21/2020 5:21,photo,public speaking,positive,70,,,,
9341,7e2e14e2-79eb-41d0-8d5f-eba20460f049,want,1/5/2021 8:36,photo,dogs,positive,70,,,,
9347,7e2e14e2-79eb-41d0-8d5f-eba20460f049,want,11/8/2020 19:48,photo,dogs,positive,70,,,,
9362,7e2e14e2-79eb-41d0-8d5f-eba20460f049,want,1/4/2021 4:50,photo,dogs,positive,70,,,,
9376,34cb120b-853b-4788-8978-a3544449136b,want,5/28/2021 2:40,photo,food,positive,70,,,,
9704,46bd9a52-6547-457f-87fa-0e434e5bc61c,want,7/9/2020 18:36,photo,fitness,positive,70,,,,
9707,46bd9a52-6547-457f-87fa-0e434e5bc61c,want,8/3/2020 17:13,photo,fitness,positive,70,,,,
9722,46bd9a52-6547-457f-87fa-0e434e5bc61c,want,2/11/2021 18:48,photo,fitness,positive,70,,,,
9733,46bd9a52-6547-457f-87fa-0e434e5bc61c,want,5/15/2021 2:19,photo,fitness,positive,70,,,,
9758,bc1f22da-d7b2-49d8-a6f1-1132776b4b18,want,2/16/2021 7:59,photo,culture,positive,70,,,,
9769,bc1f22da-d7b2-49d8-a6f1-1132776b4b18,want,11/4/2020 9:50,photo,culture,positive,70,,,,
9777,bc1f22da-d7b2-49d8-a6f1-1132776b4b18,want,6/6/2021 12:16,photo,culture,positive,70,,,,
9781,501b2f88-999b-4ad9-b2f5-4b9c36a31259,want,12/11/2020 5:50,photo,cooking,positive,70,,,,
9784,501b2f88-999b-4ad9-b2f5-4b9c36a31259,want,12/6/2020 11:07,photo,cooking,positive,70,,,,
9785,501b2f88-999b-4ad9-b2f5-4b9c36a31259,want,2/1/2021 22:09,photo,cooking,positive,70,,,,
9802,501b2f88-999b-4ad9-b2f5-4b9c36a31259,want,1/3/2021 3:39,photo,cooking,positive,70,,,,
9814,501b2f88-999b-4ad9-b2f5-4b9c36a31259,want,12/25/2020 22:05,photo,cooking,positive,70,,,,
9930,b6ecb09e-a706-4589-bb75-70cb1cc590eb,want,8/23/2020 1:58,photo,culture,positive,70,,,,
9932,b6ecb09e-a706-4589-bb75-70cb1cc590eb,want,5/1/2021 4:01,photo,culture,positive,70,,,,
10096,86f4e4df-636a-48f5-bb66-03ea4fd00214,want,9/17/2020 1:06,photo,veganism,positive,70,,,,
10142,91f7585b-c756-475b-9f21-877d7c48b579,want,2/19/2021 17:23,photo,soccer,positive,70,,,,
10190,9a2c328f-16aa-490c-8ca2-c7deaa90db3f,want,4/18/2021 19:28,photo,culture,positive,70,,,,
10311,1517abf6-67ed-47e1-9b9b-7e79a23a4d22,want,6/11/2021 11:48,photo,education,positive,70,,,,
10323,1517abf6-67ed-47e1-9b9b-7e79a23a4d22,want,4/29/2021 21:29,photo,education,positive,70,,,,
10331,1517abf6-67ed-47e1-9b9b-7e79a23a4d22,want,1/22/2021 20:41,photo,education,positive,70,,,,
10388,f361cc99-64f0-4a7c-ad49-945ff01abaa6,want,3/11/2021 22:41,photo,dogs,positive,70,,,,
10393,f361cc99-64f0-4a7c-ad49-945ff01abaa6,want,5/31/2021 1:37,photo,dogs,positive,70,,,,
10397,f361cc99-64f0-4a7c-ad49-945ff01abaa6,want,5/10/2021 18:19,photo,dogs,positive,70,,,,
10401,f361cc99-64f0-4a7c-ad49-945ff01abaa6,want,1/28/2021 5:09,photo,dogs,positive,70,,,,
10402,f361cc99-64f0-4a7c-ad49-945ff01abaa6,want,1/27/2021 13:20,photo,dogs,positive,70,,,,
10408,f361cc99-64f0-4a7c-ad49-945ff01abaa6,want,7/8/2020 20:47,photo,dogs,positive,70,,,,
10464,aa6c9668-7455-4a4c-9915-f7d4cb56c8c6,want,6/1/2021 8:50,photo,Animals,positive,70,,,,
10835,4b00c81e-66dd-45bd-9fb5-a9d2b37b62bf,want,12/27/2020 16:22,photo,Animals,positive,70,,,,
10849,4b00c81e-66dd-45bd-9fb5-a9d2b37b62bf,want,4/22/2021 21:38,photo,Animals,positive,70,,,,
11102,6b09861c-712e-46e6-a2a5-72e4b3878767,want,10/26/2020 18:31,photo,Studying,positive,70,,,,
